Tournament,Matchday,Date,Venue,Club,Opponent,Result,Position,Minute,When Scored,Goal Type,Assist
Copa del Rey ,Halbfinale,3/4/09,Away,FC Barcelona,RCD Mallorca,1:1,RW,81',1:1,Left-footed shot,Gerard Piqué
LaLiga ,26,3/7/09,Home,FC Barcelona,Athletic Bilbao,2:0,RW,31',2:0,Penalty,Not Applicable
UEFA Champions League ,Achtelfinale,3/11/09,Home,FC Barcelona,Olympique Lyon,5:2,RW,40',3:0,Left-footed shot,Samuel Eto'o
LaLiga ,28,3/22/09,Home,FC Barcelona,Málaga CF,6:0,RW,26',2:0,Right-footed shot,Xavi
UEFA Champions League ,Viertelfinale,4/8/09,Home,FC Barcelona,Bayern Munich,4:0,RW,9',1:0,Left-footed shot,Samuel Eto'o
UEFA Champions League ,Viertelfinale,4/8/09,Home,FC Barcelona,Bayern Munich,4:0,RW,38',3:0,Right-footed shot,Thierry Henry
LaLiga ,31,4/18/09,Away,FC Barcelona,Getafe CF,0:1,RW,18',0:1,Left-footed shot,Xavi
LaLiga ,33,4/25/09,Away,FC Barcelona,Valencia CF,2:2,RW,23',0:1,Left-footed shot,Andrés Iniesta
LaLiga ,34,5/2/09,Away,FC Barcelona,Real Madrid,2:6,CF,35',1:3,Left-footed shot,Xavi
LaLiga ,34,5/2/09,Away,FC Barcelona,Real Madrid,2:6,CF,75',2:5,Left-footed shot,Xavi
Copa del Rey ,Finale,5/13/09,Home,FC Barcelona,Athletic Bilbao,4:1,RW,55',2:1,Left-footed shot,Samuel Eto'o
UEFA Champions League ,Finale,5/27/09,Home,FC Barcelona,Manchester United,2:0,RW,70',2:0,Header,Xavi
Supercopa ,Finale,8/23/09,Home,FC Barcelona,Athletic Bilbao,3:0,RW,50',1:0,Right-footed shot,Zlatan Ibrahimović
Supercopa ,Finale,8/23/09,Home,FC Barcelona,Athletic Bilbao,3:0,RW,68',2:0,Penalty,Not Applicable
LaLiga ,2,9/12/09,Away,FC Barcelona,Getafe CF,0:2,RW,78',0:2,Header,Zlatan Ibrahimović
LaLiga ,3,9/19/09,Home,FC Barcelona,Atlético de Madrid,5:2,RW,15',2:0,Left-footed shot,Xavi
LaLiga ,3,9/19/09,Home,FC Barcelona,Atlético de Madrid,5:2,RW,90'+3,5:2,Right-footed shot,Dani Alves
LaLiga ,4,9/22/09,Away,FC Barcelona,Racing Santander,1:4,RW,23',0:2,Left-footed shot,Xavi
LaLiga ,4,9/22/09,Away,FC Barcelona,Racing Santander,1:4,RW,63',0:4,Left-footed shot,Xavi
UEFA Champions League ,Gruppenphase,9/29/09,Home,FC Barcelona,Dynamo Kyiv,2:0,RW,25',1:0,Left-footed shot,Andrés Iniesta
LaLiga ,8,10/25/09,Home,FC Barcelona,Real Zaragoza,6:1,RW,80',5:1,Left-footed shot,Andrés Iniesta
LaLiga ,10,11/7/09,Home,FC Barcelona,RCD Mallorca,4:2,RW,86',4:1,Penalty,Not Applicable
Copa del Rey ,4.Runde,11/10/09,Home,FC Barcelona,Cultural Leonesa,5:0,RW,64',4:0,Left-footed shot,Pedro
LaLiga ,13,12/5/09,Away,FC Barcelona,Deportivo de La Coruña,1:3,RW,26',0:1,Left-footed shot,Dani Alves
LaLiga ,13,12/5/09,Away,FC Barcelona,Deportivo de La Coruña,1:3,RW,80',1:2,Header,Pedro
UEFA Champions League ,Gruppenphase,12/9/09,Away,FC Barcelona,Dynamo Kyiv,1:2,RW,86',1:2,Direct free kick,Not Applicable
Club World Cup ,Halbfinale,12/16/09,Away,FC Barcelona,CF Atlante,1:3,RW,55',1:2,Left-footed shot,Zlatan Ibrahimović
Club World Cup ,Finale,12/19/09,Away,FC Barcelona,Club Estudiantes de La Plata,1:2,RW,110',1:2,Chest,Dani Alves
LaLiga ,17,1/10/10,Away,FC Barcelona,CD Tenerife,0:5,RW,36',0:1,Left-footed shot,Bojan Krkic
LaLiga ,17,1/10/10,Away,FC Barcelona,CD Tenerife,0:5,RW,45',0:3,Right-footed shot,Bojan Krkic
LaLiga ,17,1/10/10,Away,FC Barcelona,CD Tenerife,0:5,RW,75',0:4,Left-footed shot,Bojan Krkic
LaLiga ,18,1/16/10,Home,FC Barcelona,Sevilla FC,4:0,RW,85',3:0,Left-footed shot,Dani Alves
LaLiga ,18,1/16/10,Home,FC Barcelona,Sevilla FC,4:0,RW,90'+1,4:0,Left-footed shot,Éric Abidal
LaLiga ,19,1/23/10,Away,FC Barcelona,Real Valladolid CF,0:3,RW,54',0:3,Left-footed shot,Zlatan Ibrahimović
LaLiga ,21,2/6/10,Home,FC Barcelona,Getafe CF,2:1,RW,7',1:0,Left-footed shot,Yaya Touré
LaLiga ,24,2/27/10,Home,FC Barcelona,Málaga CF,2:1,AM,84',2:1,Right-footed shot,Dani Alves
LaLiga ,25,3/6/10,Away,FC Barcelona,UD Almería,2:2,RW,42',1:1,Direct free kick,Not Applicable
LaLiga ,25,3/6/10,Away,FC Barcelona,UD Almería,2:2,RW,66',2:2,Left-footed shot,Not Applicable
LaLiga ,26,3/14/10,Home,FC Barcelona,Valencia CF,3:0,CF,56',1:0,Left-footed shot,Xavi
LaLiga ,26,3/14/10,Home,FC Barcelona,Valencia CF,3:0,CF,80',2:0,Left-footed shot,Thierry Henry
LaLiga ,26,3/14/10,Home,FC Barcelona,Valencia CF,3:0,CF,82',3:0,Right-footed shot,Thierry Henry
UEFA Champions League ,Achtelfinale,3/17/10,Home,FC Barcelona,VfB Stuttgart,4:0,CF,13',1:0,Left-footed shot,Yaya Touré
UEFA Champions League ,Achtelfinale,3/17/10,Home,FC Barcelona,VfB Stuttgart,4:0,CF,56',3:0,Left-footed shot,Dani Alves
LaLiga ,27,3/21/10,Away,FC Barcelona,Real Zaragoza,2:4,RW,4',0:1,Header,Pedro
LaLiga ,27,3/21/10,Away,FC Barcelona,Real Zaragoza,2:4,RW,65',0:2,Left-footed shot,Not Applicable
LaLiga ,27,3/21/10,Away,FC Barcelona,Real Zaragoza,2:4,RW,78',0:3,Left-footed shot,Andrés Iniesta
LaLiga ,30,4/3/10,Home,FC Barcelona,Athletic Bilbao,4:1,CF,67',4:0,Left-footed shot,Pedro
UEFA Champions League ,Viertelfinale,4/6/10,Home,FC Barcelona,Arsenal FC,4:1,CF,21',1:1,Left-footed shot,Not Applicable
UEFA Champions League ,Viertelfinale,4/6/10,Home,FC Barcelona,Arsenal FC,4:1,CF,37',2:1,Right-footed shot,Pedro
UEFA Champions League ,Viertelfinale,4/6/10,Home,FC Barcelona,Arsenal FC,4:1,CF,42',3:1,Left-footed shot,Seydou Keita
UEFA Champions League ,Viertelfinale,4/6/10,Home,FC Barcelona,Arsenal FC,4:1,CF,88',4:1,Solo run,Not Applicable
LaLiga ,31,4/10/10,Away,FC Barcelona,Real Madrid,0:2,CF,32',0:1,Right-footed shot,Xavi
LaLiga ,35,5/1/10,Away,FC Barcelona,Villarreal CF,1:4,CF,18',0:1,Left-footed shot,Xavi
LaLiga ,35,5/1/10,Away,FC Barcelona,Villarreal CF,1:4,CF,87',1:4,Left-footed shot,Dani Alves
LaLiga ,36,5/4/10,Home,FC Barcelona,CD Tenerife,4:1,RW,16',1:0,Right-footed shot,Zlatan Ibrahimović
LaLiga ,36,5/4/10,Home,FC Barcelona,CD Tenerife,4:1,RW,90'+3,4:1,Right-footed shot,Dani Alves
LaLiga ,37,5/8/10,Away,FC Barcelona,Sevilla FC,2:3,CF,5',0:1,Left-footed shot,Maxwell
LaLiga ,38,5/16/10,Home,FC Barcelona,Real Valladolid CF,4:0,CF,61',3:0,Right-footed shot,Yaya Touré
LaLiga ,38,5/16/10,Home,FC Barcelona,Real Valladolid CF,4:0,CF,74',4:0,Left-footed shot,Yaya Touré
Supercopa ,Finale,8/21/10,Home,FC Barcelona,Sevilla FC,4:0,RW,25',2:0,Left-footed shot,Xavi
Supercopa ,Finale,8/21/10,Home,FC Barcelona,Sevilla FC,4:0,RW,43',3:0,Right-footed shot,Dani Alves
Supercopa ,Finale,8/21/10,Home,FC Barcelona,Sevilla FC,4:0,RW,90'+1,4:0,Left-footed shot,Andrés Iniesta
LaLiga ,1,8/29/10,Away,FC Barcelona,Racing Santander,0:3,RW,3',0:1,Left-footed shot,Andrés Iniesta
UEFA Champions League ,Gruppenphase,9/14/10,Home,FC Barcelona,Panathinaikos FC,5:1,CF,22',1:1,Left-footed shot,Xavi
UEFA Champions League ,Gruppenphase,9/14/10,Home,FC Barcelona,Panathinaikos FC,5:1,CF,45',3:1,Left-footed shot,Pedro
LaLiga ,3,9/19/10,Away,FC Barcelona,Atlético de Madrid,1:2,CF,12',0:1,Left-footed shot,Pedro
LaLiga ,6,10/3/10,Home,FC Barcelona,RCD Mallorca,1:1,CF,20',1:0,Left-footed shot,Pedro
UEFA Champions League ,Gruppenphase,10/20/10,Home,FC Barcelona,FC Copenhagen,2:0,CF,18',1:0,Left-footed shot,Andrés Iniesta
UEFA Champions League ,Gruppenphase,10/20/10,Home,FC Barcelona,FC Copenhagen,2:0,CF,90'+1,2:0,Left-footed shot,Éric Abidal
LaLiga ,8,10/23/10,Away,FC Barcelona,Real Zaragoza,0:2,CF,41',0:1,Left-footed shot,David Villa
